Region/Country_code,Region/Country_name,Local_authority_code_,Local_authority_name,Year_ending_Dec_1995,Year_ending_Mar_1996,Year_ending_Jun_1996,Year_ending_Sep_1996,Year_ending_Dec_1996,Year_ending_Mar_1997,Year_ending_Jun_1997,Year_ending_Sep_1997,Year_ending_Dec_1997,Year_ending_Mar_1998,Year_ending_Jun_1998,Year_ending_Sep_1998,Year_ending_Dec_1998,Year_ending_Mar_1999,Year_ending_Jun_1999,Year_ending_Sep_1999,Year_ending_Dec_1999,Year_ending_Mar_2000,Year_ending_Jun_2000,Year_ending_Sep_2000,Year_ending_Dec_2000,Year_ending_Mar_2001,Year_ending_Jun_2001,Year_ending_Sep_2001,Year_ending_Dec_2001,Year_ending_Mar_2002,Year_ending_Jun_2002,Year_ending_Sep_2002,Year_ending_Dec_2002,Year_ending_Mar_2003,Year_ending_Jun_2003,Year_ending_Sep_2003,Year_ending_Dec_2003,Year_ending_Mar_2004,Year_ending_Jun_2004,Year_ending_Sep_2004,Year_ending_Dec_2004,Year_ending_Mar_2005,Year_ending_Jun_2005,Year_ending_Sep_2005,Year_ending_Dec_2005,Year_ending_Mar_2006,Year_ending_Jun_2006,Year_ending_Sep_2006,Year_ending_Dec_2006,Year_ending_Mar_2007,Year_ending_Jun_2007,Year_ending_Sep_2007,Year_ending_Dec_2007,Year_ending_Mar_2008,Year_ending_Jun_2008,Year_ending_Sep_2008,Year_ending_Dec_2008,Year_ending_Mar_2009,Year_ending_Jun_2009,Year_ending_Sep_2009,Year_ending_Dec_2009,Year_ending_Mar_2010,Year_ending_Jun_2010,Year_ending_Sep_2010,Year_ending_Dec_2010,Year_ending_Mar_2011,Year_ending_Jun_2011,Year_ending_Sep_2011,Year_ending_Dec_2011,Year_ending_Mar_2012,Year_ending_Jun_2012,Year_ending_Sep_2012,Year_ending_Dec_2012,Year_ending_Mar_2013,Year_ending_Jun_2013,Year_ending_Sep_2013,Year_ending_Dec_2013,Year_ending_Mar_2014,Year_ending_Jun_2014,Year_ending_Sep_2014,Year_ending_Dec_2014,Year_ending_Mar_2015,Year_ending_Jun_2015,Year_ending_Sep_2015,Year_ending_Dec_2015,Year_ending_Mar_2016,Year_ending_Jun_2016,Year_ending_Sep_2016,Year_ending_Dec_2016,Year_ending_Mar_2017,Year_ending_Jun_2017,Year_ending_Sep_2017,Year_ending_Dec_2017,Year_ending_Mar_2018,Year_ending_Jun_2018,Year_ending_Sep_2018,Year_ending_Dec_2018,Year_ending_Mar_2019,Year_ending_Jun_2019,Year_ending_Sep_2019,Year_ending_Dec_2019,Year_ending_Mar_2020,Year_ending_Jun_2020
E12000001,North East,E06000001,Hartlepool,36500,37500,38500,39000,40000,40975,41752,41500,41450,41450,43000,44250,44000,44950,45375,46000,47375,48000,48500,47500,47000,45950,44950,47500,48500,48997.5,51950,53000,53000,53500,54950,54972.5,56950,56975,54250,55000,52975,54000,57500,60000,69000,77000,83000,86000,90000,92500,97500,100000,105000,109475,110000,110000,110000,105000,100000,100000,103500,108000,110000,112500,110500,110000,108475,105000,104000,101000,100000,102500,108000,110000,115000,116000,115747.5,114950,116000,117000,120000,123000,124000,124250,124000,122750,120000,120000,119950,119950,123250,123000,124950,125000,124000,124000,125000,125000,126000,129950,129950,128000,128000
E12000001,North East,E06000002,Middlesbrough,40000,41500,42000,43000,43000,43500,44000,45000,45000,45000,43000,42000,42513,43000,44850,46500,46000,45500,45000,45000,45000,44500,44000,44500,45000,46000,48000,47583,47000,45000,43000,46000,49000,50500,60000,64950,65000,69000,71725,78000,85000,90176.5,96000,99000,101000,103000,105000,108000,106000,105000,105000,100000,99999,100000,105000,110000,111000,110000,108000,108750,105000,105000,105000,102500,102000,102000,102553,105000,107000,105000,105000,108000,110000,115000,118000,120000,120000,123475,124000,124000,129500,128000,130000,131000,130000,132500,129000,125000,125500,125500,130000,133000,133500,133500,133000,134950,135000,136000,134000
E12000001,North East,E06000003,Redcar and Cleveland,43000,42500,43563,44000,43500,44000,44000,44995,45000,45000,46000,45950,46000,45950,45000,45000,46000,47000,48000,49000,50000,50075,51000,51997.5,52500,53150,55000,56000,59000,59950,65000,69950,73000,76000,81500,87000,90000,95000,97500,100000,105000,105000,110000,115000,119500,120000,122000,123000,123500,123000,122500,120000,115000,115000,115000,115000,119950,120000,120000,119972.5,117250,116000,112000,112000,110000,111017,115000,115000,115000,115000,115000,116750,120000,120000,120900,122500,123000,124995,125000,125000,127500,127000,129995,130000,130000,130000,130000,130000,130000,130000,130750,133750,132000,131995,130000,130000,131995,132950,132500
E12000001,North East,E06000004,Stockton-on-Tees,45250,46000,46950,47000,48000,48500,49500,49900,49500,49000,49950,49995,50000,51000,51500,52500,53375,54000,54250,55500,55500,55000,57500,58995,59950,60000,63000,65000,68000,70000,75500,80000,85000,88500,95000,100000,106000,110000,113000,115000,118000,119785,120000,124000,125000,127972.5,130995,132995,134000,134000,132000,132351,129950,130000,127500,125250,130000,130000,130500,130250,128000,127997.5,125000,125000,124000,124950,125000,125000,125000,125000,128245,127500,129995,130000,130000,133000,134950,134500,134000,135000,135000,135000,135000,135000,137500,139950,142000,142500,144000,145000,144000,146000,145000,146500,147500,146500,149950,150000,147500
E12000001,North East,E06000005,Darlington,44000,43000,44000,43950,43500,44700,45500,46950,49000,49500,49950,50000,49995,49950,50000,50000,50675,50850,51350,52000,52566,53995,54000,55000,56000,56500,57950,59000,59500,59995,65000,71000,79000,84000,90000,95000,101000,107500,111000,111750,110950,111995,112500,113995,115000,117000,118000,120997.5,121500,123000,123997.5,122997.5,124950,122997.5,118750,120000,123000,124999.5,125000,125000,125000,125000,124950,120000,120000,120000,120000,122000,119000,118000,119950,119972.5,120000,121000,123000,124950,125000,130000,130000,131000,131000,132000,135000,133250,132500,132670,134000,137975,138000,138000,139995,139000,141000,142995,141000,140000,142499,142725,142975
E12000001,North East,E06000047,County Durham,39000,39500,39950,40000,40000,40000,41500,42000,43000,43000,43000,43000,43075,44000,44500,45500,47000,47000,48000,48000,48000,47000,47000,47500,48000,48500,49950,50000,52000,54000,55950,59950,64750,68000,74950,80000,85000,89950,91000,94050,96995,99000,103000,105000,106995,107000,107000,107500,108995,109000,109950,110000,105000,105000,105000,102000,105000,107995,110000,110000,107995,105445,102995,100000,100000,100000,100000,100000,100000,103000,104725,105000,105000,105000,109000,110000,110000,110000,110000,110000,110000,110000,110000,110975,112000,113000,114000,114000,114950,115000,115025,116995,118000,119000,120000,120995,120000,120995,119000
E12000001,North East,E06000057,Northumberland,47500,47000,47374.5,48500,50000,50750,51950,52000,53000,53000,53000,54000,54500,54950,56000,58000,58500,59000,59800,59950,59950,59950,60000,62000,64000,65000,66950,69000,72500,75000,79950,84950,88950,92000,98000,108000,115500,120000,120000,120000,120000,122375,127500,133000,135000,137000,138000,137000,139950,140000,142000,144000,142000,141500,136000,134000,137000,139999.5,142950,145000,145000,142000,142476,137550,135000,135000,135000,137000,137000,137500,137000,137000,140000,140000,143250,145825,149000,150000,152250,155000,155000,155000,155500,157500,158500,160000,160000,159950,160000,159950,160000,165000,167500,169950,168000,169000,167000,165950,165000
E12000001,North East,E08000021,Newcastle upon Tyne,45500,46000,46000,46500,47500,47500,48500,49000,49000,50000,51000,52000,53062.5,53500,54000,56275,57000,58000,58950,58550,59000,59500,60000,63000,65500,68000,70500,75000,80000,84000,88000,95000,105000,113125,120000,125000,129000,128000,128500,125000,128000,131000,135000,140000,142000,143000,144100,144000,143972.5,144500,142997.5,145000,142500,140000,139000,135000,137500,137500,139000,140000,140000,140000,139950,135000,130000,130000,130000,131000,136000,135000,136000,137500,136000,139000,140000,141000,143000,143825,145000,150000,151510,152500,155000,155000,157000,158500,157500,156000,155000,156000,158500,160000,161995,161500.5,160475,164500,165000,165000,165000
E12000001,North East,E08000022,North Tyneside,45858.5,45450,45500,46000,47000,48000,49000,50675,50500,50995,52375,52500,54000,54000,54000,55000,55950,56000,56000,55950,56000,56995,57000,57000,56995,57000,59000,60000,68000,70000,75500,82500,88000,92500,100997.5,110000,117000,120000,122125,120000,120000,120000,125000,128000,129000,129950,130500,132000,133000,133125,132000,130500,128500,130000,129000,128000,133000,135000,138950,142000,140000,139950,136475,132667,130000,131000,132000,133000,135000,136000,137000,137092.5,137000,139000,141000,143500,146000,150000,150500,155000,155000,152500,153000,155000,157000,160000,163000,165000,168000,168000,168000,169450,169950,170000,170000,174535,173000,173000,170000
E12000001,North East,E08000023,South Tyneside,40000,41000,41500,42000,42000,43225,44000,45000,45000,45000,45000,44650,45000,45950,46000,46950,47000,47000,47100,48000,48500,48500,48000,48950,49000,49000,50000,51000,52500,55000,58975,63125,70000,75000,82000,85000,89950,92000,94000,97000,100050,102500,102975,106000,108500,113000,115000,115000,116375,114997.5,114995,115000,113000,112500,110000,111500,114950,117000,116000,117250,115000,116000,118000,107000,104950,103000,100000,106000,110000,110000,113270,113396,115000,115000,118995,119995,124950,126564,130000,130000,129950,129950,129950,131950,132000,132500,133000,133122.5,134000,135000,135000,137000,138500,137000,137000,136000,136000,137000,135000
